"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"AZE","","ALL","1986","56.29"
"AZE","","ALL","1987","53.59"
"AZE","","ALL","1988","47.96"
"AZE","","ALL","1989","42.9"
"AZE","","ALL","1990","37.32"
"AZE","","ALL","1991","38.62"
"AZE","","ALL","1992","38.83"
"AZE","","ALL","1993","41.4"
"AZE","","ALL","1994","38.41"
"AZE","","ALL","1995","21.9"
"AZE","","ALL","1996","33.12"
"AZE","","ALL","1997","61.5"
"AZE","","ALL","1998","59.04"
"AZE","","ALL","1999","58.3"
"AZE","","ALL","2000","64.45"
"AZE","","ALL","2001","60.39"
"AZE","","ALL","2002","62.92"
"AZE","","ALL","2003","46.7"
"AZE","","ALL","2004","65.06"
"AZE","","ALL","2005","71.9"
"AZE","","ALL","2006","66.26"
"AZE","","ALL","2007","64.34"
"AZE","","ALL","2008","86.35"
"AZE","","ALL","2009","105.75"
"AZE","","ALL","2010","83.39"
"AZE","","ALL","2011","99.7"
"AZE","","ALL","2012","68.45"
"AZE","","ALL","2013","62.23"
"AZE","","ALL","2014","60.11"
"AZE","","ALL","2015","56.54"
"AZE","","ALL","2016","52.28"
"AZE","","ALL","2017","53.08"
"AZE","","ALL","2018","51.13"
"AZE","","ALL","2019","48.94"
"AZE","","ALL","2020","37.38"
"BEL","","ALL","1980","27.27"
"BEL","","ALL","1981","28.81"
"BEL","","ALL","1982","26.9"
"BEL","","ALL","1983","22.22"
"BEL","","ALL","1984","21.81"
"BEL","","ALL","1985","19.84"
"BEL","","ALL","1986","19.19"
"BEL","","ALL","1987","17.95"
"BEL","","ALL","1988","16.04"
"BEL","","ALL","1989","16.58"
"BEL","","ALL","1990","15.82"
"BEL","","ALL","1991","14.61"
"BEL","","ALL","1992","13.29"
"BEL","","ALL","1993","14.91"
"BEL","","ALL","1994","15.04"
"BEL","","ALL","1995","13.61"
"BEL","","ALL","1996","13.27"
"BEL","","ALL","1997","12.42"
"BEL","","ALL","1998","11.79"
"BEL","","ALL","1999","10.99"
"BEL","","ALL","2000","12.47"
"BEL","","ALL","2001","12.84"
"BEL","","ALL","2002","11.72"
"BEL","","ALL","2003","10.25"
"BEL","","ALL","2004","10.82"
"BEL","","ALL","2005","10.27"
"BEL","","ALL","2006","9.89"
"BEL","","ALL","2007","8.99"
"BEL","","ALL","2008","8.77"
"BEL","","ALL","2009","8.5"
"BEL","","ALL","2010","9.23"
"BEL","","ALL","2011","8.75"
"BEL","","ALL","2012","8.17"
"BEL","","ALL","2013","8.1"
"BEL","","ALL","2014","7.89"
"BEL","","ALL","2015","8.24"
"BEL","","ALL","2016","8.67"
"BEL","","ALL","2017","8.04"
"BEL","","ALL","2018","7.99"
"BEL","","ALL","2019","7.83"
"BEL","","ALL","2020","6.76"
"BGR","","ALL","1980","37.01"
"BGR","","ALL","1981","33.82"
"BGR","","ALL","1982","33.63"
"BGR","","ALL","1983","32.35"
"BGR","","ALL","1984","31.87"
"BGR","","ALL","1985","28.52"
"BGR","","ALL","1986","28.24"
"BGR","","ALL","1987","26.22"
"BGR","","ALL","1988","26.58"
"BGR","","ALL","1989","25.6"
"BGR","","ALL","1990","25.09"
"BGR","","ALL","1991","29.01"
"BGR","","ALL","1992","36.25"
"BGR","","ALL","1993","37.92"
"BGR","","ALL","1994","62.72"
"BGR","","ALL","1995","38.6"
"BGR","","ALL","1996","37.18"
"BGR","","ALL","1997","41.35"
"BGR","","ALL","1998","49.86"
"BGR","","ALL","1999","42.99"
"BGR","","ALL","2000","40.99"
"BGR","","ALL","2001","48.8"
"BGR","","ALL","2002","42.38"
"BGR","","ALL","2003","41.71"
"BGR","","ALL","2004","38.88"
"BGR","","ALL","2005","41.67"
"BGR","","ALL","2006","40.73"
"BGR","","ALL","2007","37.18"
"BGR","","ALL","2008","38.62"
"BGR","","ALL","2009","35"
"BGR","","ALL","2010","32.01"
"BGR","","ALL","2011","29.27"
"BGR","","ALL","2012","28.48"
"BGR","","ALL","2013","26.57"
"BGR","","ALL","2014","25.34"
"BGR","","ALL","2015","22.64"
"BGR","","ALL","2016","21.49"
"BGR","","ALL","2017","19.84"
"BGR","","ALL","2018","18.17"
"BGR","","ALL","2019","18.15"
"BGR","","ALL","2020","12.72"
"BIH","","ALL","1980","107.93"
"BIH","","ALL","1981","105.96"
"BIH","","ALL","1982","112.61"
"BIH","","ALL","1983","106.94"
"BIH","","ALL","1984","111.61"
"BIH","","ALL","1985","109.04"
"BIH","","ALL","1986","106.68"
"BIH","","ALL","1987","103.78"
"BIH","","ALL","1988","93.1"
"BIH","","ALL","1989","94.16"
"BIH","","ALL","1990","90.95"
"BIH","","ALL","1991","78.48"
"BIH","","ALL","1996","63"
"BIH","","ALL","1997","75.82"
"BIH","","ALL","1998","74.17"
"BIH","","ALL","1999","78.02"
"BIH","","ALL","2000","65.61"
"BIH","","ALL","2001","65.74"
"BIH","","ALL","2002","44.43"
"BIH","","ALL","2003","46.69"
"BIH","","ALL","2004","60.19"
"BIH","","ALL","2005","54.03"
"BIH","","ALL","2006","47.18"
"BIH","","ALL","2007","62.98"
"BIH","","ALL","2008","44.74"
"BIH","","ALL","2009","44.94"
"BIH","","ALL","2010","34.37"
"BIH","","ALL","2011","35.42"
"BIH","","ALL","2012","36.73"
"BIH","","ALL","2013","32.85"
"BIH","","ALL","2014","31.33"
"BIH","","ALL","2015","28.66"
"BIH","","ALL","2016","23.86"
"BIH","","ALL","2017","22.28"
"BIH","","ALL","2018","19.37"
"BIH","","ALL","2019","16.87"
"BIH","","ALL","2020","10.45"
"BLR","","ALL","1980","61.84"
"BLR","","ALL","1981","63.9"
"BLR","","ALL","1982","55.98"
"BLR","","ALL","1983","55.85"
"BLR","","ALL","1984","51.19"
"BLR","","ALL","1985","48.94"
"BLR","","ALL","1986","41.22"
"BLR","","ALL","1987","38.85"
"BLR","","ALL","1988","37.24"
"BLR","","ALL","1989","36.42"
"BLR","","ALL","1990","29.76"
"BLR","","ALL","1991","36.6"
"BLR","","ALL","1992","23.44"
"BLR","","ALL","1993","40.06"
"BLR","","ALL","1994","42.18"
"BLR","","ALL","1995","47.62"
"BLR","","ALL","1996","54.61"
"BLR","","ALL","1997","58.56"
"BLR","","ALL","1998","60.34"
"BLR","","ALL","1999","73.13"
"BLR","","ALL","2000","67.96"
"BLR","","ALL","2001","55.21"
"BLR","","ALL","2002","51.78"
"BLR","","ALL","2003","60.39"
"BLR","","ALL","2004","55.4"
"BLR","","ALL","2005","54.3"
"BLR","","ALL","2006","52.83"
"BLR","","ALL","2007","55.15"
"BLR","","ALL","2008","52.95"
"BLR","","ALL","2009","54.3"
"BLR","","ALL","2010","53.72"
"BLR","","ALL","2011","49.58"
"BLR","","ALL","2012","50.54"
"BLR","","ALL","2013","47.22"
"BLR","","ALL","2014","40.61"
"BLR","","ALL","2015","39.65"
"BLR","","ALL","2016","33.87"
"BLR","","ALL","2017","29.28"
"BLR","","ALL","2018","24.87"
"BLR","","ALL","2019","23.27"
"BLR","","ALL","2020","15.99"
"","CARINFONET","ALL","1980","72.08"
"","CARINFONET","ALL","1981","71.03"
"","CARINFONET","ALL","1982","66.92"
"","CARINFONET","ALL","1983","63.99"
"","CARINFONET","ALL","1984","60.68"
"","CARINFONET","ALL","1985","59.84"
"","CARINFONET","ALL","1986","61.86"
"","CARINFONET","ALL","1987","62.62"
"","CARINFONET","ALL","1988","62.04"
"","CARINFONET","ALL","1989","62.26"
"","CARINFONET","ALL","1990","54.5"
"","CARINFONET","ALL","1991","52.94"
"","CARINFONET","ALL","1992","50.67"
"","CARINFONET","ALL","1993","49.12"
"","CARINFONET","ALL","1994","58.57"
"","CARINFONET","ALL","1995","52.77"
"","CARINFONET","ALL","1996","62.48"
"","CARINFONET","ALL","1997","73.98"
"","CARINFONET","ALL","1998","86.81"
"","CARINFONET","ALL","1999","97.35"
"","CARINFONET","ALL","2000","99.2"
"","CARINFONET","ALL","2001","103.26"
"","CARINFONET","ALL","2002","110.64"
"","CARINFONET","ALL","2003","150.36"
"","CARINFONET","ALL","2004","108.85"
"","CARINFONET","ALL","2005","111.94"
"","CARINFONET","ALL","2006","111.69"
"","CARINFONET","ALL","2007","104.44"
"","CARINFONET","ALL","2008","94.52"
"","CARINFONET","ALL","2009","99.25"
"","CARINFONET","ALL","2010","89.29"
"","CARINFONET","ALL","2011","87.46"
"","CARINFONET","ALL","2012","74.31"
"","CARINFONET","ALL","2013","83.6"
"","CARINFONET","ALL","2014","72.9"
"","CARINFONET","ALL","2015","67.56"
"","CARINFONET","ALL","2016","63.62"
"","CARINFONET","ALL","2017","61.99"
"","CARINFONET","ALL","2018","60.68"
"","CARINFONET","ALL","2019","58.93"
"","CARINFONET","ALL","2020","44.11"
"CHE","","ALL","1980","18.36"
"CHE","","ALL","1981","18.78"
"CHE","","ALL","1982","18.26"
"CHE","","ALL","1983","17.09"
"CHE","","ALL","1984","14.69"
"CHE","","ALL","1985","14.85"
"CHE","","ALL","1986","13.55"
"CHE","","ALL","1987","15.55"
"CHE","","ALL","1988","18.22"
"CHE","","ALL","1989","16.61"
"CHE","","ALL","1990","19.04"
"CHE","","ALL","1991","16.68"
"CHE","","ALL","1992","14.36"
"CHE","","ALL","1993","13.4"
"CHE","","ALL","1994","13.21"
"CHE","","ALL","1995","11.79"
"CHE","","ALL","1996","10.82"
"CHE","","ALL","1997","10.54"
"CHE","","ALL","1998","10.55"
"CHE","","ALL","1999","10.13"
"CHE","","ALL","2000","8.03"
"CHE","","ALL","2001","7.6"
"CHE","","ALL","2002","8.15"
"CHE","","ALL","2003","7.79"
"CHE","","ALL","2004","7.46"
"CHE","","ALL","2005","6.91"
"CHE","","ALL","2006","6.32"
"CHE","","ALL","2007","5.56"
"CHE","","ALL","2008","6.05"
"CHE","","ALL","2009","6.5"
"CHE","","ALL","2010","6.49"
"CHE","","ALL","2011","6.62"
"CHE","","ALL","2012","5.2"
"CHE","","ALL","2013","5.76"
"CHE","","ALL","2014","5.15"
"CHE","","ALL","2015","6.4"
"CHE","","ALL","2016","6.84"
"CHE","","ALL","2017","6.31"
"CHE","","ALL","2018","5.64"
"CHE","","ALL","2019","4.8"
"CHE","","ALL","2020","4.19"
"","CIS","ALL","1980","56.51"
"","CIS","ALL","1981","55.8"
"","CIS","ALL","1982","53.88"
"","CIS","ALL","1983","53.18"
"","CIS","ALL","1984","52.8"
"","CIS","ALL","1985","48.61"
"","CIS","ALL","1986","50.85"
"","CIS","ALL","1987","49.59"
"","CIS","ALL","1988","47.47"
"","CIS","ALL","1989","45.26"
"","CIS","ALL","1990","37.31"
"","CIS","ALL","1991","37.37"
"","CIS","ALL","1992","37.8"
"","CIS","ALL","1993","43.2"
"","CIS","ALL","1994","48.08"
"","CIS","ALL","1995","52.39"
"","CIS","ALL","1996","65.11"
"","CIS","ALL","1997","73.39"
"","CIS","ALL","1998","72.94"
"","CIS","ALL","1999","86.24"
"","CIS","ALL","2000","89.32"
"","CIS","ALL","2001","88.65"
"","CIS","ALL","2002","90.71"
"","CIS","ALL","2003","114.52"
"","CIS","ALL","2004","95"
"","CIS","ALL","2005","92"
"","CIS","ALL","2006","91.25"
"","CIS","ALL","2007","89.52"
"","CIS","ALL","2008","88.42"
"","CIS","ALL","2009","91.2"
"","CIS","ALL","2010","84.36"
"","CIS","ALL","2011","80.04"
"","CIS","ALL","2012","75.94"
"","CIS","ALL","2013","76.55"
"","CIS","ALL","2014","70.39"
"","CIS","ALL","2015","67.14"
"","CIS","ALL","2016","63.01"
"","CIS","ALL","2017","58.24"
"","CIS","ALL","2018","55.17"
"","CIS","ALL","2019","52.42"
"","CIS","ALL","2020","39.94"
"CYP","","ALL","1980","13.57"
"CYP","","ALL","1981","13.4"
"CYP","","ALL","1982","16.51"
"CYP","","ALL","1983","13.84"
"CYP","","ALL","1984","7.29"
"CYP","","ALL","1985","11.27"
"CYP","","ALL","1986","8.77"
"CYP","","ALL","1987","6.32"
"CYP","","ALL","1988","6.97"
"CYP","","ALL","1989","4.05"
"CYP","","ALL","1990","5.01"
"CYP","","ALL","1991","7.23"
"CYP","","ALL","1992","6.39"
"CYP","","ALL","1993","5.91"
"CYP","","ALL","1994","5.79"
"CYP","","ALL","1995","5.53"
"CYP","","ALL","1996","3.63"
"CYP","","ALL","1997","7.01"
"CYP","","ALL","1998","6.63"
"CYP","","ALL","1999","5.68"
"CYP","","ALL","2000","4.76"
"CYP","","ALL","2001","5.7"
"CYP","","ALL","2002","2.82"
"CYP","","ALL","2003","4.85"
"CYP","","ALL","2004","4.1"
"CYP","","ALL","2005","4.58"
"CYP","","ALL","2006","4.77"
"CYP","","ALL","2007","5.31"
"CYP","","ALL","2008","6.07"
"CYP","","ALL","2009","6.27"
"CYP","","ALL","2010","7.31"
"CYP","","ALL","2011","6.01"
"CYP","","ALL","2012","7.29"
"CYP","","ALL","2013","4.76"
"CYP","","ALL","2014","4.57"
"CYP","","ALL","2015","7.38"
"CYP","","ALL","2016","6.76"
"CYP","","ALL","2017","6.05"
"CYP","","ALL","2018","5.86"
"CYP","","ALL","2019","7.58"
"CYP","","ALL","2020","3.86"
"CZE","","ALL","1980","48.05"
"CZE","","ALL","1981","41.85"
"CZE","","ALL","1982","40.2"
"CZE","","ALL","1983","38.9"
"CZE","","ALL","1984","35.36"
